0.42593,100,0.95,0,0,0
0.41824,100,0.95,0,0,0
0.46298,100,0.95,0,0,0
0.46997,100,0.95,0,0,0
0.52629,100,0.95,0,0,0
0.48325,100,0.95,0,0,0
0.4953,100,0.95,0,0,0
0.51738,100,0.95,0,0,0
0.58724,100,0.95,0,0,0
0.69152,100,0.95,0,0,0
0.71464,100,0.95,0,0,0
0.71757,100,0.95,0,0,0
0.75441,100,0.95,0,0,0
0.73544,100,0.95,0,0,0
0.70021,100,0.95,0,0,0
0.42593,100,0.95,0,0,0
0.41824,100,0.95,0,0,0
0.46298,100,0.95,0,0,0
0.46997,100,0.95,0,0,0
0.52629,100,0.95,0,0,0
0.48325,100,0.95,0,0,0
0.4953,100,0.95,0,0,0
0.51738,100,0.95,0,0,0
0.58724,100,0.95,0,0,0
0.69152,100,0.95,0,0,0
0.71464,100,0.95,0,0,0
0.71757,100,0.95,0,0,0
0.75441,100,0.95,0,0,0
0.73544,100,0.95,0,0,0
0.70021,100,0.95,0,0,0
0.42593,100,0.95,0,0,0
0.41824,100,0.95,0,0,0
0.46298,100,0.95,0,0,0
0.46997,100,0.95,0,0,0
0.52629,100,0.95,0,0,0
0.48325,100,0.95,0,0,0
0.4953,100,0.95,0,0,0
0.51738,100,0.95,0,0,0
0.58724,100,0.95,0,0,0
0.69152,100,0.95,0,0,0
0.71464,100,0.95,0,0,0
0.71757,100,0.95,0,0,0
0.75441,100,0.95,0,0,0
0.73544,100,0.95,0,0,0
0.70021,100,0.95,0,0,0
